103,eth1/1,test11,trunk,immediate,"1,2,3",EPG-VL69-INTERNAL,EPG-VL10-ISE,EPG-VMOTION
103,eth1/2,test22,access,on-demand,3,EPG-VMOTION,,
103,eth1/3,test33,access,on-demand,5,EPG-VMOTION,,
103,eth1/4,test44,trunk,immediate,"1,3",EPG-VL69-INTERNAL,EPG-VMOTION,
103,eth1/5,test55,trunk,immediate,"1,2,3",EPG-VL69-INTERNAL,EPG-VL10-ISE,EPG-VMOTION
103,eth1/6,test66,trunk,immediate,2,EPG-VL10-ISE,,
103,eth1/7,test77,trunk,immediate,2,EPG-VL10-ISE,,
103,eth1/8,test88,trunk,immediate,2,EPG-VL10-ISE,,
103,eth1/9,test99,trunk,immediate,2,EPG-VL10-ISE,,
103,eth1/10,test100,trunk,immediate,2,EPG-VL10-ISE,,
